,9043071	Rick Wilson	Alberta	West	Corporate,40732966	Tamara Dahlen	Ontario	Ontario	Corporate
1328,15639214	Katrina Bavinger	Ontario	Ontario	Consumer,
1329,52636682	Troy Staebel	Quebec	Quebec	Small Business,
1330,44475905	Deborah Brumfield	Quebec	Quebec	Small Business,
1331,50882136	Barry French	Northwest Territories	Northwest Territories	Consumer,
1332,77821610	Bill Eplett	British Columbia	West	Corporate,
1333,47611253	Astrea Jones	Ontario	Ontario	Corporate,
1334,104516903	Sylvia Foulston	Nova Scotia	Atlantic	Consumer,
1335,15048550	Katrina Bavinger	Ontario	Ontario	Home Office,
1336,100527781	Bryan Mills	Northwest Territories	Northwest Territories	Corporate,
1337,68911769	Corinna Mitchell	Newfoundland	Atlantic	Corporate,
1338,45991563	Sylvia Foulston	Nunavut	Nunavut	Corporate,
1339,29307407	Emily Ducich	Manitoba	Prarie	Consumer,
1340,8520485	Doug Bickford	Ontario	Ontario	Corporate,
1341,44738936	Mike Pelletier	Northwest Territories	Northwest Territories	Small Business,
1342,64261965	Lena Hernandez	British Columbia	West	Home Office,
1343,60006070	Lena Hernandez	Nova Scotia	Atlantic	Home Office,
1344,53512689	Jeremy Ellison	Ontario	Ontario	Small Business,
1345,99851365	Aaron Hawkins	Yukon	Yukon	Home Office,
1346,83966780	Edward Hooks	Nunavut	Nunavut	Consumer,
1347,53855677	Ross DeVincentis	Quebec	Quebec	Corporate,
1348,21051246	Mick Brown	British Columbia	West	Consumer,
1349,75296554	Deborah Brumfield	Manitoba	Prarie	Corporate,
1350,10540824	Dianna Wilson	Ontario	Ontario	Small Business,
1351,91159117	Tony Molinari	Yukon	Yukon	Corporate,
1352,75827252	Hilary Holden	Manitoba	Prarie	Corporate,
1353,23284184	Skye Norling	Nunavut	Nunavut	Home Office,
1354,12299029	Maribeth Schnelling	New Brunswick	Atlantic	Corporate,
1355,6149498	Karl Brown	Nova Scotia	Atlantic	Corporate,
1356,17886187	Susan Vittorini	Ontario	Ontario	Corporate,
1357,23558649	Peter Buhler	British Columbia	West	Consumer,
1358,50465044	Evan Henry	Yukon	Yukon	Corporate,
1359,50320111	Trudy Schmidt	Nova Scotia	Atlantic	Small Business,
1360,7452837	Jennifer Halladay	Ontario	Ontario	Home Office,
1361,45684102	Stefania Perrino	Ontario	Ontario	Corporate,
1362,32001706	Jack O'Briant	Nova Scotia	Atlantic	Home Office,
1363,101365911	Neil Knudson	British Columbia	West	Home Office,
1364,74126979	Allen Armold	British Columbia	West	Home Office,
1365,24078858	Maria Bertelson	Manitoba	Prarie	Corporate,
1366,60780393	Stefania Perrino	Saskachewan	Prarie	Corporate,
1367,61502376	Emily Phan	British Columbia	West	Consumer,
1368,96219608	Roland Black	British Columbia	West	Small Business,
1369,97004664	Chuck Clark	British Columbia	West	Corporate,
1370,29843835	Mike Kennedy	Nova Scotia	Atlantic	Small Business,
1371,33281016	Darren Powers	Alberta	West	Corporate,
1372,83297869	Muhammed Lee	British Columbia	West	Corporate,
1373,71142278	Skye Norling	Northwest Territories	Northwest Territories	Home Office,
1374,70839917	Bradley Drucker	Nova Scotia	Atlantic	Small Business,
1375,36351985	Nicole Brennan	Nova Scotia	Atlantic	Consumer,
1376,24481187	Dennis Bolton	Manitoba	Prarie	Small Business,
1377,82491541	Troy Staebel	Newfoundland	Atlantic	Small Business,
1378,37231359	Corey Roper	Yukon	Yukon	Small Business,
1379,77037253	Bill Tyler	Quebec	Quebec	Consumer,
1380,33133679	Sylvia Foulston	Quebec	Quebec	Home Office,
1381,69488635	Bart Folk	British Columbia	West	Corporate,
1382,54281616	David Flashing	Quebec	Quebec	Home Office,
1383,52336254	Theresa Swint	Quebec	Quebec	Home Office,
1384,47596871	Brendan Murry	Quebec	Quebec	Corporate,
1385,46170980	Sylvia Foulston	Nunavut	Nunavut	Home Office,
1386,52563015	Theone Pippenger	Nova Scotia	Atlantic	Corporate,
1387,6324861	Paul Lucas	Nova Scotia	Atlantic	Corporate,
1388,55087610	Eric Barreto	Quebec	Quebec	Small Business,
1389,64537698	Alan Haines	Quebec	Quebec	Home Office,
1390,91550526	Christina DeMoss	New Brunswick	Atlantic	Home Office,
1391,58724414	Matt Abelman	Manitoba	Prarie	Consumer,
1392,40189087	Ivan Liston	Ontario	Ontario	Consumer,
1393,44667886	Quincy Jones	Yukon	Yukon	Small Business,
1394,45725722	Dianna Wilson	Nova Scotia	Atlantic	Small Business,
1395,27524985	Mark Cousins	Manitoba	Prarie	Home Office,
1396,17604431	Greg Maxwell	Nova Scotia	Atlantic	Home Office,
1397,85580048	Harold Dahlen	Alberta	West	Corporate,
1398,10584324	Christy Brittain	Quebec	Quebec	Consumer,
1399,84184775	Harold Engle	Manitoba	Prarie	Consumer,
1400,36405393	Deborah Brumfield	Nova Scotia	Atlantic	Corporate,
1401,104142658	Arthur Prichep	Ontario	Ontario	Small Business,
1402,36067157	Anne Pryor	Quebec	Quebec	Corporate,
1403,73720984	Kristina Nunn	Nova Scotia	Atlantic	Consumer,
1404,51465599	Benjamin Venier	Ontario	Ontario	Small Business,
1405,96281489	Hallie Redmond	Alberta	West	Home Office,
1406,63248104	Sue Ann Reed	Alberta	West	Consumer,
1407,67448304	Cynthia Delaney	Quebec	Quebec	Home Office,
1408,49065676	Katrina Willman	Ontario	Ontario	Consumer,
1409,33950005	Rick Duston	Ontario	Ontario	Corporate,
1410,50327280	Edward Nazzal	Ontario	Ontario	Small Business,
1411,16132386	Lindsay Castell	Alberta	West	Corporate,
1412,36554514	Kimberly Carter	British Columbia	West	Small Business,
1413,58986820	Mark Cousins	Ontario	Ontario	Home Office,
1414,69473872	Liz Pelletier	Saskachewan	Prarie	Corporate,
1415,50165765	Deanra Eno	Nova Scotia	Atlantic	Corporate,
1416,64966840	Mark Cousins	Manitoba	Prarie	Corporate,
1417,88371652	Ken Heidel	Nova Scotia	Atlantic	Corporate,
1418,51927660	Julia Barnett	Yukon	Yukon	Corporate,
1419,36778322	Kean Thornton	Ontario	Ontario	Corporate,
1420,104919109	Joseph Airdo	Ontario	Ontario	Corporate,
1421,77514197	Bill Tyler	Yukon	Yukon	Consumer,
1422,33619929	Craig Yedwab	Quebec	Quebec	Consumer,
1423,42911135	Aaron Smayling	Manitoba	Prarie	Small Business,
1424,11252896	Jason Gross	Manitoba	Prarie	Small Business,
1425,101231204	Kimberly Carter	British Columbia	West	Home Office,
1426,38268269	Julia West	Northwest Territories	Northwest Territories	Consumer,
1427,100219185	Chad Cunningham	Northwest Territories	Northwest Territories	Small Business,
1428,67791714	Bill Shonely	Quebec	Quebec	Small Business,
1429,12119240	Amy Hunt	Saskachewan	Prarie	Consumer,
1430,99563074	Benjamin Venier	British Columbia	West	Small Business,
1431,70826606	Harold Dahlen	Newfoundland	Atlantic	Consumer,
1432,62925640	Natalie Webber	Newfoundland	Atlantic	Consumer,
1433,93732944	Greg Maxwell	British Columbia	West	Home Office,
1434,77343403	Jennifer Ferguson	Saskachewan	Prarie	Corporate,
1435,40982916	Michael Stewart	Quebec	Quebec	Small Business,
1436,56861570	Michael Stewart	Nova Scotia	Atlantic	Small Business,
1437,89287020	Karen Ferguson	Nova Scotia	Atlantic	Home Office,
1438,37199328	Dennis Bolton	Ontario	Ontario	Small Business,
1439,32396854	Robert Waldorf	Saskachewan	Prarie	Home Office,
1440,94666608	Lauren Leatherbury	British Columbia	West	Home Office,
1441,89313737	Jeremy Lonsdale	Alberta	West	Corporate,
1442,18400683	Maribeth Dona	Quebec	Quebec	Home Office,
1443,7583923	Craig Carroll	Ontario	Ontario	Small Business,
1444,25695577	Sally Hughsby	Ontario	Ontario	Home Office,
1445,87480359	Sandra Flanagan	Ontario	Ontario	Corporate,
1446,83848290	Frank Gastineau	Alberta	West	Small Business,
1447,84793691	Brad Thomas	Yukon	Yukon	Corporate,
1448,98791614	Andy Reiter	Ontario	Ontario	Corporate,
1449,1599613	Tom Prescott	Newfoundland	Atlantic	Small Business,
1450,21295595	Craig Yedwab	Ontario	Ontario	Consumer,
1451,65058193	Don Miller	Nunavut	Nunavut	Home Office,
1452,79874489	Joni Wasserman	Nova Scotia	Atlantic	Consumer,
1453,30988102	Max Engle	Alberta	West	Corporate,
1454,25637113	Ken Heidel	Manitoba	Prarie	Corporate,
1455,70190430	Erica Smith	Ontario	Ontario	Small Business,
1456,53132484	Tim Taslimi	British Columbia	West	Corporate,
1457,93857244	Helen Wasserman	Alberta	West	Home Office,
1458,7602649	Grant Carroll	Ontario	Ontario	Corporate,
1459,78666432	Giulietta Dortch	Ontario	Ontario	Corporate,
1460,103043219	Eleni McCrary	Ontario	Ontario	Corporate,
1461,29364014	David Smith	Nova Scotia	Atlantic	Small Business,
1462,26154365	Sean Wendt	Nova Scotia	Atlantic	Corporate,
1463,16320930	Anthony Garverick	Nova Scotia	Atlantic	Small Business,
1464,24606708	Adrian Hane	Alberta	West	Corporate,
1465,26871677	Cathy Prescott	Alberta	West	Corporate,
1466,23953185	Tracy Poddar	Newfoundland	Atlantic	Corporate,
1467,59819667	Matt Collister	Ontario	Ontario	Home Office,
1468,16637514	Phillip Breyer	Ontario	Ontario	Corporate,
1469,64970238	Kimberly Carter	Quebec	Quebec	Small Business,
1470,99006294	Alyssa Crouse	Alberta	West	Home Office,
1471,73907286	Denny Joy	Ontario	Ontario	Corporate,
1472,96313090	Brian Stugart	Quebec	Quebec	Consumer,
1473,78750599	Bradley Talbott	Nova Scotia	Atlantic	Corporate,
1474,65794635	Carol Triggs	Quebec	Quebec	Corporate,
1475,28204770	Amy Cox	Ontario	Ontario	Home Office,
1476,4926578	Michelle Tran	Quebec	Quebec	Home Office,
1477,28497631	Eric Barreto	Ontario	Ontario	Consumer,
1478,55792985	David Flashing	Nova Scotia	Atlantic	Consumer,
1479,70402918	Deborah Brumfield	Nova Scotia	Atlantic	Small Business,
1480,42923007	Janet Martin	Quebec	Quebec	Corporate,
1481,8361959	Keith Herrera	Quebec	Quebec	Small Business,
1482,87335700	Natalie Fritzler	Ontario	Ontario	Home Office,
1483,69983258	Giulietta Dortch	Quebec	Quebec	Corporate,
1484,60796863	Jill Fjeld	Manitoba	Prarie	Home Office,
1485,48301253	Hunter Lopez	Newfoundland	Atlantic	Consumer,
1486,81685115	Harold Dahlen	British Columbia	West	Consumer,
1487,35175537	Joseph Holt	Saskachewan	Prarie	Home Office,
1488,96945026	Debra Catini	Ontario	Ontario	Small Business,
1489,99662735	Eric Barreto	Newfoundland	Atlantic	Small Business,
1490,34003222	Harry Greene	Alberta	West	Corporate,
1491,29764059	Bill Eplett	Saskachewan	Prarie	Corporate,
1492,19637851	Anne McFarland	Yukon	Yukon	Consumer,
1493,85598616	Bart Folk	Quebec	Quebec	Corporate,
1494,72667470	Bill Donatelli	Ontario	Ontario	Small Business,
1495,10035142	Janet Martin	Newfoundland	Atlantic	Corporate,
1496,16089776	Carlos Soltero	Prince Edward Island	Atlantic	Small Business,
1497,16533423	Joy Smith	Manitoba	Prarie	Consumer,
1498,98550002	Erica Hackney	Ontario	Ontario	Small Business,
1499,51397901	Karl Brown	Ontario	Ontario	Home Office,
1500,68382142	Nicole Brennan	Quebec	Quebec	Home Office,
1501,63128167	Liz Willingham	Ontario	Ontario	Corporate,
1502,71235667	Dianna Arnett	Ontario	Ontario	Home Office,
1503,14093031	Lindsay Castell	Quebec	Quebec	Corporate,
1504,82879640	Bobby Elias	Ontario	Ontario	Small Business,
1505,94359543	Toby Knight	Manitoba	Prarie	Consumer,
1506,21513268	Tom Stivers	Saskachewan	Prarie	Corporate,
1507,86353944	Sylvia Foulston	Nova Scotia	Atlantic	Corporate,
1508,59257458	Kalyca Meade	Ontario	Ontario	Corporate,
1509,45040261	Jenna Caffey	Prince Edward Island	Atlantic	Consumer,
1510,98169666	Neil Ducich	Nova Scotia	Atlantic	Home Office,
1511,88686363	Mary O'Rourke	British Columbia	West	Home Office,
1512,57428241	Rick Huthwaite	British Columbia	West	Corporate,
1513,26827600	Laurel Elliston	Quebec	Quebec	Home Office,
1514,31445683	Ivan Gibson	Manitoba	Prarie	Corporate,
1515,38709595	Mark Hamilton	Saskachewan	Prarie	Home Office,
1516,95834317	Clay Rozendal	Nunavut	Nunavut	Corporate,
1517,70286456	Roland Fjeld	Yukon	Yukon	Corporate,
1518,9690051	Lisa DeCherney	New Brunswick	Atlantic	Corporate,
1519,37469927	Katherine Ducich	British Columbia	West	Corporate,
1520,106662918	Speros Goranitis	Quebec	Quebec	Corporate,
1521,38345574	Brad Thomas	Quebec	Quebec	Home Office,
1522,14547307	Ken Brennan	Ontario	Ontario	Home Office,
1523,99554235	Giulietta Baptist	British Columbia	West	Home Office,
1524,41561683	Robert Waldorf	Manitoba	Prarie	Home Office,
1525,90970454	Anthony Garverick	Yukon	Yukon	Small Business,
1526,92171058	Katherine Murray	Quebec	Quebec	Home Office,
1527,36982496	Mike Kennedy	British Columbia	West	Corporate,
1528,58381259	Carlos Meador	Newfoundland	Atlantic	Corporate,
1529,40573457	Ben Peterman	Ontario	Ontario	Corporate,
1530,77082747	Julie Kriz	Nova Scotia	Atlantic	Corporate,
1531,85936564	Muhammed Lee	Quebec	Quebec	Consumer,
1532,21091134	Tony Molinari	Ontario	Ontario	Corporate,
1533,96403643	Chris McAfee	British Columbia	West	Consumer,
1534,79430948	Ann Blume	Ontario	Ontario	Corporate,
1535,88877641	Eric Murdock	Yukon	Yukon	Home Office,
1536,53475838	Adrian Hane	Northwest Territories	Northwest Territories	Corporate,
1537,18270898	Dianna Arnett	Newfoundland	Atlantic	Home Office,
1538,51524374	Giulietta Dortch	Nova Scotia	Atlantic	Corporate,
1539,50035826	Nicole Brennan	Alberta	West	Consumer,
1540,11408122	Dorothy Dickinson	Ontario	Ontario	Corporate,
1541,25882629	Cynthia Voltz	Quebec	Quebec	Corporate,
1542,88591198	Eleni McCrary	Quebec	Quebec	Corporate,
1543,67565029	Neil Ducich	British Columbia	West	Home Office,
1544,51140110	Phillip Breyer	New Brunswick	Atlantic	Corporate,
1545,102153138	Andrew Roberts	Alberta	West	Small Business,
1546,82568232	Amy Cox	Newfoundland	Atlantic	Small Business,
1547,95323982	Janet Martin	Nova Scotia	Atlantic	Corporate,
1548,65176427	Brian Thompson	Manitoba	Prarie	Home Office,
1549,77066787	Matt Abelman	Nova Scotia	Atlantic	Consumer,
1550,20979572	Chris McAfee	Yukon	Yukon	Consumer,
1551,38262641	Tiffany House	Saskachewan	Prarie	Corporate,
1552,99162955	Anthony Jacobs	Alberta	West	Home Office,
1553,57145231	Emily Phan	Nova Scotia	Atlantic	Consumer,
1554,12518883	Nicole Brennan	British Columbia	West	Consumer,
1555,46389525	Sally Knutson	Nova Scotia	Atlantic	Corporate,
1556,61652309	Matt Abelman	Manitoba	Prarie	Home Office,
1557,90467666	Mitch Gastineau	Alberta	West	Corporate,
1558,12801101	Julia Barnett	Nova Scotia	Atlantic	Corporate,
1559,45761281	Rick Reed	Quebec	Quebec	Consumer,
1560,69572908	Karen Carlisle	Yukon	Yukon	Home Office,
1561,45678228	Sara Luxemburg	Ontario	Ontario	Small Business,
1562,83589867	Nicole Brennan	Newfoundland	Atlantic	Consumer,
1563,25377321	Muhammed Yedwab	Quebec	Quebec	Consumer,
1564,45759427	Alex Grayson	Newfoundland	Atlantic	Consumer,
1565,52866664	Jennifer Patt	Quebec	Quebec	Home Office,
1566,10328710	Evan Minnotte	Manitoba	Prarie	Corporate,
1567,46897051	Irene Maddox	Yukon	Yukon	Consumer,
1568,88389057	Roger Barcio	Alberta	West	Corporate,
1569,45504324	Andrew Gjertsen	Northwest Territories	Northwest Territories	Consumer,
1570,102041571	Eric Barreto	Nova Scotia	Atlantic	Consumer,
1571,13009089	Gene McClure	Quebec	Quebec	Consumer,
1572,35404813	Dan Campbell	Nova Scotia	Atlantic	Small Business,
1573,85839759	Troy Staebel	Ontario	Ontario	Small Business,
1574,73150949	Chuck Magee	Manitoba	Prarie	Corporate,
1575,23702536	Amy Cox	Yukon	Yukon	Small Business,
1576,57727451	Ed Jacobs	British Columbia	West	Small Business,
1577,81927718	Liz Willingham	Nova Scotia	Atlantic	Home Office,
1578,54976397	Susan Vittorini	Prince Edward Island	Atlantic	Corporate,
1579,44863503	Grant Thornton	Quebec	Quebec	Corporate,
1580,71617670	Quincy Jones	New Brunswick	Atlantic	Home Office,
1581,7499162	Rick Reed	Northwest Territories	Northwest Territories	Consumer,
1582,59356019	Adrian Barton	Alberta	West	Small Business,
1583,67304326	Craig Carreira	Saskachewan	Prarie	Corporate,
1584,24333725	Hunter Lopez	Ontario	Ontario	Consumer,
1585,50681325	Dean Percer	Quebec	Quebec	Home Office,
1586,31295548	Katrina Edelman	Alberta	West	Corporate,
1587,96048266	Harold Dahlen	Alberta	West	Consumer,
1588,95681602	Karl Brown	Newfoundland	Atlantic	Corporate,
1589,52225170	Thea Hendricks	British Columbia	West	Home Office,
1590,49310468	Parhena Norris	British Columbia	West	Home Office,
1591,89257969	Sarah Bern	British Columbia	West	Corporate,
1592,26155039	Chad Cunningham	Prince Edward Island	Atlantic	Small Business,
1593,71138125	Aleksandra Gannaway	British Columbia	West	Home Office,
1594,28264061	Dean Percer	Yukon	Yukon	Home Office,
1595,36195642	Brian Stugart	Ontario	Ontario	Corporate,
1596,109421866	John Grady	Ontario	Ontario	Corporate,
1597,62867073	Emily Grady	Saskachewan	Prarie	Home Office,
1598,93675598	Karl Brown	Quebec	Quebec	Corporate,
1599,24337046	Heather Jas	Nova Scotia	Atlantic	Corporate,
1600,94522709	Aleksandra Gannaway	Saskachewan	Prarie	Home Office,
1601,96116604	Jason Gross	Ontario	Ontario	Small Business,
1602,31215298	Jay Fine	Yukon	Yukon	Consumer,
1603,93475684	Anthony Witt	Saskachewan	Prarie	Corporate,
1604,33741844	Eleni McCrary	Ontario	Ontario	Home Office,
1605,91504189	Randy Bradley	Saskachewan	Prarie	Corporate,
1606,49105511	Evan Henry	Nova Scotia	Atlantic	Corporate,
1607,96127896	Michelle Ellison	Ontario	Ontario	Home Office,
1608,12083055	Ed Jacobs	Newfoundland	Atlantic	Small Business,
1609,10791341	Grant Carroll	Nunavut	Nunavut	Corporate,
1610,96264962	Brian Moss	British Columbia	West	Corporate,
1611,94730893	Monica Federle	Nunavut	Nunavut	Corporate,
1612,78017605	Joni Wasserman	British Columbia	West	Consumer,
1613,33774473	Dan Campbell	Yukon	Yukon	Small Business,
1614,31282636	Anthony Garverick	Quebec	Quebec	Small Business,
1615,71600295	Tony Sayre	Quebec	Quebec	Small Business,
1616,63292596	Kean Thornton	British Columbia	West	Corporate,
1617,44799824	Mark Haberlin	Yukon	Yukon	Small Business,
1618,75286027	Jeremy Pistek	Yukon	Yukon	Corporate,
1619,72387039	Dennis Bolton	Nova Scotia	Atlantic	Small Business,
1620,61340538	Barry Weirich	Northwest Territories	Northwest Territories	Corporate,
1621,14293127	Damala Kotsonis	Quebec	Quebec	Corporate,
1622,72355770	Sean Wendt	Manitoba	Prarie	Corporate,
1623,23647299	Grace Kelly	Alberta	West	Consumer,
1624,74478263	Chuck Sachs	Newfoundland	Atlantic	Consumer,
1625,30084133	Denise Leinenbach	Nova Scotia	Atlantic	Home Office,
1626,39017689	Shahid Collister	Ontario	Ontario	Home Office,
1627,86443655	John Grady	British Columbia	West	Corporate,
1628,71514953	Nicole Fjeld	Saskachewan	Prarie	Small Business,
1629,54917669	Erica Bern	Manitoba	Prarie	Corporate,
1630,90409940	Jason Klamczynski	Saskachewan	Prarie	Small Business,
1631,51018321	Guy Thornton	Manitoba	Prarie	Corporate,
1632,84497472	Khloe Miller	Nova Scotia	Atlantic	Home Office,
1633,37603216	Liz Price	Nova Scotia	Atlantic	Corporate,
1634,31325721	Giulietta Dortch	Newfoundland	Atlantic	Consumer,
1635,21270971	Tracy Collins	New Brunswick	Atlantic	Corporate,
1636,10983392	Raymond Fair	Newfoundland	Atlantic	Small Business,
1637,104955257	Maria Etezadi	Alberta	West	Home Office,
1638,86769142	Hallie Redmond	Alberta	West	Small Business,
1639,22439533	George Zrebassa	Ontario	Ontario	Home Office,
1640,79695933	Muhammed Lee	Newfoundland	Atlantic	Consumer,
1641,20807427	Nathan Mautz	Manitoba	Prarie	Corporate,
1642,21904093	Grant Donatelli	Alberta	West	Consumer,
1643,86027092	Jay Fine	Newfoundland	Atlantic	Consumer,
1644,85156954	Carlos Meador	Ontario	Ontario	Corporate,
1645,66524971	Eric Barreto	Yukon	Yukon	Small Business,
1646,20860077	Liz Price	British Columbia	West	Consumer,
1647,90732122	Dan Campbell	Newfoundland	Atlantic	Small Business,
1648,33447795	Brad Thomas	Newfoundland	Atlantic	Corporate,
1649,10656473	Lisa DeCherney	New Brunswick	Atlantic	Consumer,
1650,57227532	Christy Brittain	Ontario	Ontario	Consumer,
1651,81677975	Craig Yedwab	Nova Scotia	Atlantic	Consumer,
1652,9194738	Ashley Jarboe	Saskachewan	Prarie	Home Office,
1653,67873838	Andy Reiter	Quebec	Quebec	Corporate,
1654,17649315	Paul Knutson	Newfoundland	Atlantic	Corporate,
1655,99251719	Toby Carlisle	Quebec	Quebec	Home Office,
1656,93406185	Shirley Jackson	British Columbia	West	Corporate,
1657,59398504	Sara Luxemburg	British Columbia	West	Small Business,
1658,68213457	Mark Packer	Ontario	Ontario	Small Business,
1659,16917108	Maya Herman	Nova Scotia	Atlantic	Corporate,
1660,102405473	Eric Murdock	British Columbia	West	Home Office,
